id;titulo;equipamento_qtd;data_abertura;requerente;localizacao;g_responsavel;status;data_fechamento;contato;responsavel;equipamento
4905;Solicitação de equipamento - Periférico - Mouse;3;2025-01-28;USER_115;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Periférico - Mouse
4567;Solicitação de equipamento - Monitor;3;2025-01-27;USER_096;LOC_037;Suporte N2;Estoque;;Sistema;gestor_4;Monitor
4479;Impressora e serviços de impressão;0;2025-01-27;USER_116;LOC_001;Suporte N2;Atribuído;;Whatsapp;Informática;
4416;Estabilizador/No-break;0;2025-01-24;USER_117;LOC_042;Estagiário;Fechado;2025-01-26;Sistema;gestor_4;
4107;Solicitação de equipamento - Periférico - Mouse;1;2025-01-23;USER_010;LOC_005;Estagiário;Estoque;;Whatsapp;gestor_4;Periférico - Mouse
3925;Suporte à estação de trabalho;0;2025-01-22;USER_016;LOC_001;Suporte N2;Atribuído;;Sistema;Informática;
3538;Solicitação de equipamento - Periférico - Mouse;2;2025-01-20;USER_118;LOC_001;Estagiário;Estoque;;Whatsapp;Informática;Periférico - Mouse
2863;Solicitação de equipamento - Periférico - Mouse;1;2025-01-15;USER_119;LOC_043;Suporte N2;Estoque;;Sistema;gestor_1;Periférico - Mouse
2733;Solicitação de equipamento - Periférico - Mouse;1;2025-01-15;USER_113;LOC_001;Estagiário;Estoque;;Whatsapp;Informática;Periférico - Mouse
2727;Solicitação de equipamento - Periférico - Mouse;1;2025-01-15;USER_096;LOC_037;Suporte N2;Estoque;;Sistema;gestor_4;Periférico - Mouse
1904;Solicitação de equipamento - Periférico - Mouse;2;2025-01-09;USER_016;LOC_001;Estagiário;Estoque;;Whatsapp;Informática;Periférico - Mouse
1810;Solicitação de equipamento - Periférico - Mouse;3;2025-01-09;USER_120;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Periférico - Mouse
1469;Solicitação de equipamento - Periférico - Mouse;1;2025-01-08;USER_121;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Periférico - Mouse
